Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
GPL,Great Panther Silver Limited,1.66,228293160,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/gpl
GPRE,"Green Plains Renewable Energy, Inc.",4.25,125732000,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/gpre
GRH,GreenHunter Energy Inc,1.97,55315630,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/grh
SIM,"Grupo Simec, S.A. de C.V.",10.25,33855750,n/a,1993,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/sim
GPRC,Guanwei Recycling Corp.,0.7275,15143640,n/a,n/a,Basic Industries,Containers/Packaging,http://www.nasdaq.com/symbol/gprc
GURE,"Gulf Resources, Inc.",1.01,35092450,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/gure
GU,Gushan Environmental Energy Limited,1.47,15104250,n/a,2007,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/gu
FUL,H. B. Fuller Company,29.27,1461129130,n/a,n/a,Basic Industries,Home Furnishings,http://www.nasdaq.com/symbol/ful
HWG,Hallwood Group Incorporated,9.5,14487500,n/a,n/a,Basic Industries,Textiles,http://www.nasdaq.com/symbol/hwg
HMY,Harmony Gold Mining Co. Ltd.,10.13,1324497500,n/a,1972,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/hmy
HWD,Harry Winston Diamond Corporation,12.85,1090643750,n/a,1993,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/hwd
HL,Hecla Mining Company,4.66,1329488680,n/a,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/hl
HL^B,Hecla Mining Company,56.5,8927000,n/a,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/hl^b
HCCI,"Heritage-Crystal Clean, Inc.",16.66,295715000,n/a,2008,Basic Industries,Miscellaneous,http://www.nasdaq.com/symbol/hcci
HXL,Hexcel Corporation,23.87,2380531230,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/hxl
HBM,HudBay Minerals Inc,8.49,1459753620,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/hbm
HUN,Huntsman Corporation,12.49,2989219210,n/a,2005,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/hun
HYGS,Hydrogenics Corporation,6.3759,49017919.2,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/hygs
IAG,Iamgold Corporation,11.18,4204384340,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/iag
IGC,India Globalization Capital Inc.,0.2001,12018406.2,n/a,1987,Basic Industries,Military/Government/Technical,http://www.nasdaq.com/symbol/igc
IDSA,"Industrial Services of America, Inc.",4.6,31928600,n/a,n/a,Basic Industries,Miscellaneous,http://www.nasdaq.com/symbol/idsa
IOSP,Innospec Inc.,31.6,729012000,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/iosp
IFF,"Internationa Flavors & Fragrances, Inc.",55.43,4493488380,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/iff
IP,International Paper Company,33.36,14588961840,n/a,n/a,Basic Industries,Paper,http://www.nasdaq.com/symbol/ip
THM,International Tower Hill Mines Ltd,2.62,227112080,n/a,1984,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/thm
IPI,"Intrepid Potash, Inc",23.53,1771408990,n/a,1984,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/ipi
IVN,Ivanhoe Mines Ltd,8.7,6432632100,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/ivn
JEC,Jacobs Engineering Group Inc.,39.45,5090154600,n/a,n/a,Basic Industries,Military/Government/Technical,http://www.nasdaq.com/symbol/jec
JAG,Jaguar Mining Inc,0.6761,57069601,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/jag
KS,KapStone Paper and Packaging Corporation,17.33,806659510,n/a,n/a,Basic Industries,Paper,http://www.nasdaq.com/symbol/ks
KBR,"KBR, Inc.",27.12,3995426880,n/a,2006,Basic Industries,Military/Government/Technical,http://www.nasdaq.com/symbol/kbr
KGN,Keegan Resources Inc,3.07,231926220,n/a,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/kgn
KBX,Kimber Resources Inc,0.69,53257650,n/a,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/kbx
KGC,Kinross Gold Corporation,8.46,9635094000,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/kgc
KIOR,"KiOR, Inc.",8.06,324060360,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/kior
KMG,"KMG Chemicals, Inc.",17.89,203266180,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/kmg
KXM,Kobex Minerals Inc.,0.57,26266740,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/kxm
KOP,Koppers Holdings Inc.,32.8,680731200,n/a,2006,Basic Industries,Forest Products,http://www.nasdaq.com/symbol/kop
KRA,"Kraton Performance Polymers, Inc",22.88,737674080,n/a,2009,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/kra
KRO,Kronos Worldwide Inc,16.09,1864863180,n/a,1972,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/kro
KUB,Kubota Corporation,47.6,302355200,n/a,n/a,Basic Industries,Metal Fabrications,http://www.nasdaq.com/symbol/kub
FSTR,L.B. Foster Company,30.83,311814620,n/a,n/a,Basic Industries,Metal Fabrications,http://www.nasdaq.com/symbol/fstr
