Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
HLX,"Helix Energy Solutions Group, Inc.",17.8,1873129600,n/a,1981,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/hlx
HP,"Helmerich & Payne, Inc.",48.59,5219343440,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/hp
HERO,"Hercules Offshore, Inc.",3.605,571215855,n/a,2005,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/hero
HES,Hess Corporation,48.36,16520307960,n/a,n/a,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/hes
HKN,"HKN, Inc.",2.2644,39762864,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/hkn
HEP,"Holly Energy Partners, L.P.",63.8,1745631800,n/a,2004,Energy,Natural Gas Distribution,http://www.nasdaq.com/symbol/hep
HFC,HollyFrontier Corporation,36.43,7533724000,n/a,n/a,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/hfc
HOLI,"Hollysys Automation Technologies, Ltd.",7.94,444632060,n/a,n/a,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/holi
HPJ,Hong Kong Highpower Technology,1.03,13989460,n/a,n/a,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/hpj
HUSA,Houston American Energy Corporation,0.89,33254850,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/husa
HGT,Hugoton Royalty Trust,7.49,299600000,n/a,1999,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/hgt
HDY,HyperDynamics Corporation,0.8,133452800,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/hdy
IMO,Imperial Oil Limited,43.51,36896480000,n/a,n/a,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/imo
IOC,InterOil Corporation,85.15,4097503150,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ioc
IO,Ion Geophysical Corporation,6.96,1083010800,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/io
ISRL,"Isramco, Inc.",105.75,287428500,n/a,1983,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/isrl
IVAN,"Ivanhoe Energy, Inc.",0.678,233326242,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ivan
JRCC,James River Coal Company,2.05,73765150,n/a,n/a,Energy,Coal Mining,http://www.nasdaq.com/symbol/jrcc
JOY,Joy Global Inc.,53.01,5609677230,n/a,1991,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/joy
KEG,"Key Energy Services, Inc.",8.27,1248869240,n/a,n/a,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/keg
KMR,"Kinder Morgan Management, LLC",77.63,7760981620,n/a,n/a,Energy,Natural Gas Distribution,http://www.nasdaq.com/symbol/kmr
KOG,Kodiak Oil,8.66,2282178460,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/kog
PHG,"Koninklijke Philips Electronics, N.V.",22.11,2183959470,n/a,n/a,Energy,Consumer Electronics/Appliances,http://www.nasdaq.com/symbol/phg
KOS,Kosmos Energy Ltd.,10.08,3934516320,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/kos
LLEN,"L&L Energy, Inc.",1.72,62437720,n/a,n/a,Energy,Coal Mining,http://www.nasdaq.com/symbol/llen
LPI,"Laredo Petroleum Holdings, Inc.",23.14,2965807520,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/lpi
LGCY,Legacy Reserves LP,26.55,1272514950,n/a,1996,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/lgcy
LINE,"Linn Energy, LLC",39.15,7803808650,n/a,1983,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/line
LPR,Lone Pine Resources Inc.,2.19,186209130,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/lpr
LPH,Longwei Petroleum Investment Holding Limited,1.26,126966420,n/a,1973,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/lph
LRE,"LRR Energy, L.P.",16.4,257611200,n/a,1992,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/lre
LEI,"Lucas Energy, Inc.",1.61,36588860,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/lei
